Step,MAE,MSE,Huber,Training_Loss,Testing_Loss
0,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
10000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
20000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
30000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
40000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
50000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
60000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
70000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
80000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
90000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
100000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
110000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
120000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
130000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
140000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
150000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
160000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
170000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
180000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
190000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
200000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
210000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
220000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
230000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
240000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
250000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
260000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
270000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
280000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
290000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
